practitioner_id,source_practitioner_id,organization_id,specialty_id,first_name,last_name,practitioner_role,synthetic_npi,internal_flag,active_flag,created_at,updated_at
PRC0001,EHR-PRC00001,ORG001,,Skyler,Hughes,Medical Director,9999901001,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0002,EHR-PRC00002,ORG002,,Alex,Reed,Referring Clinician,9999901002,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0003,EHR-PRC00003,ORG003,,Quinn,Johnson,Referring Clinician,9999901003,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0004,EHR-PRC00004,ORG004,,Finley,Foster,Referring Clinician,9999901004,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0005,EHR-PRC00005,ORG005,,Cameron,Garcia,Referring Clinician,9999901005,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0006,EHR-PRC00006,ORG006,,Jordan,Carter,Referring Clinician,9999901006,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0007,EHR-PRC00007,ORG001,,Micah,Kim,Referring Clinician,9999901007,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0008,EHR-PRC00008,ORG002,,Drew,Carter,Referring Clinician,9999901008,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0009,EHR-PRC00009,ORG003,,Avery,Garcia,Referring Clinician,9999901009,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0010,EHR-PRC00010,ORG004,,Alex,Diaz,Referring Clinician,9999901010,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0011,EHR-PRC00011,ORG005,,Skyler,Garcia,Referring Clinician,9999901011,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0012,EHR-PRC00012,ORG006,,Parker,Edwards,Referring Clinician,9999901012,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0013,EHR-PRC00013,ORG001,,Drew,Carter,Referring Clinician,9999901013,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0014,EHR-PRC00014,ORG002,,Rowan,Adams,Referring Clinician,9999901014,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0015,EHR-PRC00015,ORG003,,Jordan,Hughes,Referring Clinician,9999901015,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0016,EHR-PRC00016,ORG004,,Jordan,Nguyen,Referring Clinician,9999901016,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0017,EHR-PRC00017,ORG005,,Jordan,Adams,Referring Clinician,9999901017,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0018,EHR-PRC00018,ORG006,,Casey,Nguyen,Referring Clinician,9999901018,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0019,EHR-PRC00019,ORG001,,Casey,Irwin,Referring Clinician,9999901019,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0020,EHR-PRC00020,ORG002,,Quinn,Carter,Referring Clinician,9999901020,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0021,EHR-PRC00021,ORG003,,Parker,Adams,Referring Clinician,9999901021,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0022,EHR-PRC00022,ORG004,,Hayden,Carter,Referring Clinician,9999901022,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0023,EHR-PRC00023,ORG005,,Morgan,Carter,Referring Clinician,9999901023,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0024,EHR-PRC00024,ORG006,,Taylor,Morris,Referring Clinician,9999901024,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0025,EHR-PRC00025,ORG001,,Drew,Reed,Referring Clinician,9999901025,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0026,EHR-PRC00026,ORG002,,Casey,Carter,Referring Clinician,9999901026,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0027,EHR-PRC00027,ORG003,,Skyler,Turner,Referring Clinician,9999901027,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0028,EHR-PRC00028,ORG004,,Hayden,Hughes,Referring Clinician,9999901028,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0029,EHR-PRC00029,ORG005,,Casey,Walker,Referring Clinician,9999901029,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0030,EHR-PRC00030,ORG006,,Jordan,Hughes,Referring Clinician,9999901030,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0031,EHR-PRC00031,ORG001,,Riley,Foster,Referring Clinician,9999901031,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0032,EHR-PRC00032,ORG002,,Taylor,Singh,Referring Clinician,9999901032,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0033,EHR-PRC00033,ORG003,,Quinn,Walker,Referring Clinician,9999901033,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0034,EHR-PRC00034,ORG004,,Cameron,Foster,Referring Clinician,9999901034,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0035,EHR-PRC00035,ORG005,,Alex,Carter,Referring Clinician,9999901035,1,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0036,EXT-PRC00036,ORG007,SPC001,Parker,Lewis,Specialist,9999901036,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0037,EXT-PRC00037,ORG008,SPC002,Jamie,Reed,Specialist,9999901037,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0038,EXT-PRC00038,ORG009,SPC003,Quinn,Garcia,Specialist,9999901038,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0039,EXT-PRC00039,ORG010,SPC004,Hayden,Nguyen,Specialist,9999901039,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0040,EXT-PRC00040,ORG011,SPC005,Jordan,Reed,Specialist,9999901040,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0041,EXT-PRC00041,ORG012,SPC006,Drew,Edwards,Specialist,9999901041,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0042,EXT-PRC00042,ORG013,SPC007,Logan,Johnson,Specialist,9999901042,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0043,EXT-PRC00043,ORG014,SPC008,Cameron,Irwin,Specialist,9999901043,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0044,EXT-PRC00044,ORG015,SPC009,Cameron,Patel,Specialist,9999901044,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0045,EXT-PRC00045,ORG016,SPC010,Rowan,Edwards,Specialist,9999901045,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0046,EXT-PRC00046,ORG017,SPC001,Hayden,Irwin,Specialist,9999901046,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0047,EXT-PRC00047,ORG018,SPC002,Logan,Owens,Specialist,9999901047,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0048,EXT-PRC00048,ORG019,SPC003,Hayden,Walker,Specialist,9999901048,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0049,EXT-PRC00049,ORG020,SPC004,Jordan,Lewis,Specialist,9999901049,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0050,EXT-PRC00050,ORG021,SPC005,Riley,Garcia,Specialist,9999901050,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0051,EXT-PRC00051,ORG022,SPC006,Finley,Turner,Specialist,9999901051,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0052,EXT-PRC00052,ORG023,SPC007,Emerson,Adams,Specialist,9999901052,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0053,EXT-PRC00053,ORG024,SPC008,Jamie,Walker,Specialist,9999901053,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0054,EXT-PRC00054,ORG025,SPC009,Jamie,Morris,Specialist,9999901054,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0055,EXT-PRC00055,ORG026,SPC010,Quinn,Turner,Specialist,9999901055,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0056,EXT-PRC00056,ORG027,SPC001,Parker,Foster,Specialist,9999901056,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0057,EXT-PRC00057,ORG028,SPC002,Jordan,Johnson,Specialist,9999901057,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0058,EXT-PRC00058,ORG029,SPC003,Jamie,Garcia,Specialist,9999901058,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0059,EXT-PRC00059,ORG030,SPC004,Skyler,Reed,Specialist,9999901059,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0060,EXT-PRC00060,ORG031,SPC005,Parker,Turner,Specialist,9999901060,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0061,EXT-PRC00061,ORG007,SPC001,Riley,Patel,Specialist,9999901061,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0062,EXT-PRC00062,ORG008,SPC002,Logan,Turner,Specialist,9999901062,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0063,EXT-PRC00063,ORG009,SPC003,Cameron,Irwin,Specialist,9999901063,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0064,EXT-PRC00064,ORG010,SPC004,Finley,Nguyen,Specialist,9999901064,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0065,EXT-PRC00065,ORG011,SPC005,Quinn,Bennett,Specialist,9999901065,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0066,EXT-PRC00066,ORG012,SPC006,Rowan,Hughes,Specialist,9999901066,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
